Buoy,Lat,Long
42002,26.055,-93.646
42003,25.925,-85.615
khhv,26.939,-94.689
kemk,27.819,-94.323
42019,27.91,-95.345
kvaf,27.354,-94.625
kgry,27.625,-90.441
42020,26.968,-96.693
42409,25.9,-89.287
42035,29.232,-94.413
42043,28.982,-94.899
,,
42049,28.351,-96.006
42050,28.842,-94.242
42051,29.635,-93.642
42091,29.087,-92.506
42092,27.774,-96.972
kbqx,28.314,-95.62
42055,22.124,-93.941
42056,19.82,-84.945
41047,27.463,-71.466
41046,23.822,-68.384
41420,23.37,-67.517
42012,30.06,-87.548
42039,28.787,-86.007
42036,28.501,-84.508
42022,27.505,-83.741
42099,27.345,-84.275
42036,28.501,-84.508
42098,27.59,-82.931
42097,25.701,-83.65
42026,25.171,-83.475
42058,14.394,-74.816
42023,26.01,-83.086
42013,27.173,-82.924
42059,15.287,-67.477
42060,16.433,-63.331
bara9,17.591,-61.821
ltbv3,17.695,-64.754
espp4,18.094,-65.471
42085,17.869,-66.532
41043,21.03,-64.79
