ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Max_Wind,group,Storms
AL022004,             BONNIE,20040809,1200,  , Tropical Storm,22.5,-87.6,35,1008,25,25,25,25,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022004,             BONNIE,20040809,1800,  , Tropical Storm,22.9,-88.3,40,1007,25,25,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040810,0,  , Tropical Storm,23.1,-89.0,45,1006,25,25,25,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL022004,             BONNIE,20040810,600,  , Tropical Storm,23.4,-89.8,45,1005,25,25,25,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL022004,             BONNIE,20040810,1200,  , Tropical Storm,24.0,-90.6,50,1002,25,25,25,25,15,15,15,15,0,0,0,0,57.538999999999994,HU,LS
AL022004,             BONNIE,20040810,1800,  , Tropical Storm,24.4,-90.6,45,1003,25,40,40,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL022004,             BONNIE,20040811,0,  , Tropical Storm,24.7,-90.6,40,1003,25,25,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040811,600,  , Tropical Storm,25.2,-90.6,40,1003,35,45,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040811,1200,  , Tropical Storm,25.7,-90.4,45,1001,45,60,25,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL022004,             BONNIE,20040811,1800,  , Tropical Storm,26.4,-89.6,55,1001,45,60,25,25,15,15,15,15,0,0,0,0,63.292899999999996,HU,LS
AL022004,             BONNIE,20040812,0,  , Tropical Storm,27.0,-88.8,50,1007,45,60,25,25,15,15,15,15,0,0,0,0,57.538999999999994,HU,LS
AL022004,             BONNIE,20040812,600,  , Tropical Storm,27.7,-88.1,45,1008,45,60,25,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL022004,             BONNIE,20040812,1200,  , Tropical Storm,29.0,-86.1,45,1002,45,60,25,25,0,0,0,0,0,0,0,0,51.78509999999999,LS,TS
AL062004,            FRANCES,20040906,600,  , Tropical Storm,28.6,-83.3,55,981,175,125,125,125,60,0,0,45,0,0,0,0,63.292899999999996,HU,LS
AL092004,               IVAN,20040913,600,  , Hurricane,19.9,-83.5,140,920,175,150,125,125,125,90,60,75,90,75,40,50,161.1092,HU,HU
AL092004,               IVAN,20040913,1200,  , Hurricane,20.4,-84.1,140,915,180,150,125,125,125,90,60,75,90,75,40,50,161.1092,HU,HU
AL092004,               IVAN,20040913,1800,  , Hurricane,20.9,-84.7,140,912,190,175,140,150,125,110,90,100,100,85,70,75,161.1092,HU,HU
AL092004,               IVAN,20040914,0,  , Hurricane,21.6,-85.1,140,914,175,175,125,150,125,110,70,100,85,85,50,75,161.1092,HU,HU
AL092004,               IVAN,20040914,600,  , Hurricane,22.4,-85.6,140,924,175,175,125,150,125,110,70,100,85,85,50,75,161.1092,HU,HU
AL092004,               IVAN,20040914,1200,  , Hurricane,23.0,-86.0,125,930,225,175,150,200,125,110,70,100,85,85,50,75,143.8475,HU,HU
AL092004,               IVAN,20040914,1800,  , Hurricane,23.7,-86.5,120,931,225,175,150,200,175,125,75,125,90,90,60,75,138.09359999999998,HU,HU
AL092004,               IVAN,20040915,0,  , Hurricane,24.7,-87.0,120,928,225,175,150,200,175,125,75,125,90,90,60,75,138.09359999999998,HU,HU
AL092004,               IVAN,20040915,600,  , Hurricane,25.6,-87.4,120,935,225,175,150,200,175,125,75,125,90,90,60,75,138.09359999999998,HU,HU
AL092004,               IVAN,20040915,1200,  , Hurricane,26.7,-87.9,115,939,225,250,150,175,150,100,90,100,90,90,75,75,132.3397,HU,HU
AL092004,               IVAN,20040915,1800,  , Hurricane,27.9,-88.2,115,937,225,250,125,150,125,100,100,100,90,90,75,75,132.3397,HU,HU
AL092004,               IVAN,20040916,0,  , Hurricane,28.9,-88.2,110,931,225,250,125,150,125,125,100,100,90,90,75,75,126.58579999999999,HU,HU
AL092004,               IVAN,20040923,1200,  , Tropical Storm,28.9,-92.2,50,998,60,60,20,40,20,0,0,20,0,0,0,0,57.538999999999994,HU,LS
AL022005,               BRET,20050629,0,  , Tropical Storm,20.0,-95.8,35,1005,20,30,30,20,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022005,               BRET,20050629,600,  , Tropical Storm,20.4,-96.4,35,1005,30,30,30,30,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022005,               BRET,20050629,1200, Landfall, Tropical Storm,20.8,-97.3,35,1005,30,30,30,30,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL032005,              CINDY,20050705,1800,  , Tropical Storm,27.6,-90.5,60,997,90,90,30,60,30,30,0,25,0,0,0,0,69.04679999999999,HU,LS
AL032005,              CINDY,20050706,0,  , Hurricane,28.5,-90.3,65,992,90,90,40,60,30,30,20,25,20,20,0,0,74.80069999999999,HU,HU
AL042005,             DENNIS,20050709,1200,  , Hurricane,24.3,-83.4,80,967,175,150,75,140,90,75,30,55,45,25,15,25,92.0624,HU,HU
AL042005,             DENNIS,20050709,1800,  , Hurricane,25.2,-84.2,90,962,175,175,80,150,100,75,30,55,35,25,15,25,103.57019999999999,HU,HU
